State,Avg.Difference.Comarison,Start.Year.Comparison,End.Year.Comparison
Alabama,1,2019,2019
Alaska,0.2,2015,2019
Arizona,-1,2017,2019
Arkansas,1,2015,2019
California,-0.27,2005,2019
Colorado,-4.2,2015,2019
Connecticut,0,2015,2019
Delaware,-1,2015,2019
Florida,0,2017,2019
Georgia,6.8,2015,2019
Hawaii,3.4,2015,2019
Idaho,0.2,2015,2019
Illinois,0.6,2015,2019
Indiana,0.8,2015,2019
Iowa,-1,2017,2019
Kansas,0,2001,2019
Kentucky,0,2018,2019
Louisiana,-11,2015,2019
Maine,0.2,2015,2019
Maryland,-0.6,2015,2019
Massachusetts,0,2015,2019
Michigan,0.8,2015,2019
Minnesota,0.4,2015,2019
Mississippi,1.25,2015,2019
Missouri,-3.75,2015,2019
Montana,1.4,2015,2019
Nebraska,0.2,2015,2019
Nevada,5.6,2015,2019
New Hampshire,0.8,2015,2019
New Jersey,-0.8,2015,2019
New Mexico,0.5,2018,2019
New York,0.8,2015,2019
North Carolina,0.2,2015,2019
North Dakota,0.21,2001,2019
Ohio,1.14,2013,2019
Oklahoma,2.14,2013,2019
Oregon,1.4,2015,2019
Pennsylvania,-2,2015,2019
Rhode Island,-0.2,2015,2019
South Carolina,0.2,2015,2019
South Dakota,0.8,2015,2019
Tennessee,2,2019,2019
Texas,1.67,2005,2019
Utah,0,2015,2019
Vermont,0,2015,2019
Virginia,0,2015,2019
Washington,0.8,2015,2019
West Virginia,0.4,2015,2019
Wisconsin,0.6,2015,2019
Wyoming,0.05,2001,2019
